,Belgium,39.0,,40.2,8.4,6.6,,?,15.7,12.2,,?,?,?,2196.0,,0.5,,,,,,,,,,,,,,,,,,,,
,Belize,29.0,,27.2,4.1,6.7,,?,11.4,21.2,,?,34.0,2.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Benin,16.7,,?,0.8,4.4,,3.0,3.2,17.5,,?,676.0,7.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Bhutan,?,,17.9,2.7,7.4,,0.3,10.0,26.4,,0.0,119.0,5.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Bolivia (Plurinational State of),?,,?,4.4,7.3,,2.2,9.8,16.8,,?,947.0,2.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Bosnia and Herzegovina,38.8,,34.4,6.6,?,,3.9,15.2,?,,0.1,441.0,2.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Botswana,31.1,,26.1,3.3,?,,1.7,8.8,?,,0.1,102.0,0.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Brazil,27.2,,34.9,3.8,6.2,,1.4,9.9,16.2,,0.0,265.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,British Virgin Islands,?,,?,?,6.3,,?,?,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Brunei Darussalam,?,,?,2.3,4.4,,?,5.9,11.4,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Bulgaria,32.4,,32.3,4.2,?,,1.4,10.3,11.4,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Burkina Faso,19.2,,21.1,1.7,4.2,,2.0,7.2,18.0,,0.1,885.0,7.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Burundi,14.5,,17.0,2.5,6.4,,2.3,9.1,24.2,,0.1,428.0,12.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Cabo Verde,?,,28.4,3.6,5.3,,2.5,11.4,16.7,,0.1,123.0,7.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Cambodia,18.6,,14.3,1.3,1.9,,0.9,6.6,8.8,,0.1,843.0,4.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Cameroon,?,,10.9,0.7,2.8,,0.0,3.3,13.2,,0.0,1213.0,3.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Canada,17.8,,17.3,7.6,5.3,,?,19.2,12.2,,?,?,?,4305.0,,0.3,,,,,,,,,,,,,,,,,,,,
,Central African Republic,?,,7.8,0.6,1.2,,2.8,4.3,7.8,,0.4,508.0,26.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Chad,?,,?,1.1,2.9,,0.7,5.8,12.5,,?,648.0,6.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Chile,21.1,,22.4,4.9,4.9,,3.5,19.6,19.6,,0.2,69.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,China,15.7,,8.6,2.9,?,,0.8,9.4,?,,0.1,?1045.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Colombia,22.7,,25.3,3.8,4.5,,3.0,12.8,15.1,,0.1,845.0,0.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Comoros,?,,?,1.0,4.3,,0.7,3.8,15.3,,?,67.0,10.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Congo,43.8,,20.1,1.6,4.6,,0.1,2.9,8.0,,0.0,108.0,1.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Cook Islands,?,,?,?,?,,?,?,?,,?,19.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Costa Rica,24.4,,26.4,5.8,7.1,,0.7,29.9,?,,0.0,99.0,0.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Côte d'Ivoire,16.5,,20.6,1.1,4.8,,?,5.0,21.2,,?,827.5,2.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Croatia,39.8,,38.6,5.6,4.6,,3.4,11.7,9.5,,0.1,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Cuba,?,,?,11.5,12.8,,?,18.2,?,,?,718.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Cyprus,38.3,,36.1,2.9,6.4,,?,7.1,16.3,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Czechia,31.8,,32.1,6.0,5.8,,?,14.3,13.9,,?,?,?,304.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Democratic People's Republic of Korea,?,,?,?,?,,?,?,?,,?,133.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Democratic Republic of the Congo,14.3,,8.4,0.7,2.2,,0.7,4.0,11.7,,0.1,2280.0,6.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Denmark,38.9,,37.5,8.6,7.6,,?,15.8,13.8,,?,?,?,2448.0,,0.7,,,,,,,,,,,,,,,,,,,,
,Djibouti,?,,?,2.4,4.5,,0.2,4.1,12.3,,?,134.0,7.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Dominica,26.3,,?,3.6,3.4,,?,10.6,10.5,,?,19.0,3.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,16.0,,16.9,2.5,?,,1.2,14.0,?,,0.1,118.0,0.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Ecuador,?,,?,4.2,5.0,,1.5,10.8,12.6,,?,203.0,0.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Egypt,21.0,,30.2,1.6,?,,0.2,5.0,?,,0.0,?114.0,?0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,El Salvador,25.3,,24.9,4.4,4.0,,0.8,20.8,16.6,,0.0,152.0,0.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Equatorial Guinea,17.2,,9.8,0.6,?,,?,1.4,?,,?,7.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Eritrea,?,,?,0.4,?,,?,1.2,?,,?,79.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Estonia,35.0,,35.2,4.9,5.2,,2.6,12.1,13.0,,0.1,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Eswatini,29.2,,?,5.0,7.1,,1.7,14.9,24.9,,?,147.0,3.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Ethiopia,9.6,,11.2,1.0,4.7,,1.0,5.9,27.1,,0.1,4117.0,5.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Fiji,28.7,,26.5,2.3,3.9,,1.1,7.0,14.3,,0.0,146.0,3.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Finland,36.9,,38.2,7.6,7.1,,?,13.3,12.4,,?,?,?,1084.0,,0.4,,,,,,,,,,,,,,,,,,,,
,France,44.8,,47.5,8.8,5.5,,?,15.5,9.6,,?,?,?,11331.0,,0.4,,,,,,,,,,,,,,,,,,,,
,Gabon,?,,17.1,1.6,2.7,,0.2,7.0,11.2,,0.0,106.0,0.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Gambia,?,,?,0.8,3.1,,?,2.8,10.4,,?,270.0,27.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Georgia,25.0,,24.8,2.8,3.8,,7.0,9.6,13.0,,0.3,446.0,3.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Germany,28.3,,27.9,9.3,4.8,,?,21.3,11.0,,?,?,?,25005.0,,0.7,,,,,,,,,,,,,,,,,,,,
,Ghana,17.5,,30.5,2.1,5.9,,0.6,8.6,23.8,,0.0,1257.0,2.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Greece,46.7,,47.4,4.7,?,,?,8.8,?,,?,?,?,314.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Grenada,20.4,,20.0,1.9,10.3,,2.0,7.4,42.8,,0.1,6.0,0.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Guatemala,11.0,,11.8,1.9,3.0,,0.2,15.7,24.1,,0.0,367.0,0.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Guinea,?,,?,0.4,2.5,,1.6,2.0,11.6,,?,457.0,4.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Guinea-Bissau,?,,12.6,2.2,2.1,,0.0,9.4,16.2,,0.0,113.0,8.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Guyana,?,,?,2.3,5.3,,?,7.8,17.8,,?,51.0,1.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Haiti,?,,?,0.9,3.2,,?,4.0,14.4,,?,980.0,11.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Holy See,?,,?,?,?,,?,?,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Honduras,23.4,,22.0,3.0,6.4,,0.8,11.4,24.6,,0.0,441.0,2.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Hungary,39.9,,42.1,4.7,4.6,,3.1,9.4,9.1,,0.1,?,?,149.0,,0.1,,,,,,,,,,,,,,,,,,,,
,Iceland,32.2,,29.9,6.7,7.7,,?,15.9,18.2,,?,?,?,68.0,,0.3,,,,,,,,,,,,,,,,,,,,
,India,?,,14.9,0.9,3.8,,1.5,3.1,14.1,,0.1,3094.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Indonesia,12.2,,14.3,1.2,3.6,,0.8,6.9,20.5,,0.1,234.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Iran (Islamic Republic of),?,,?,4.0,2.8,,?,22.6,18.6,,?,140.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Iraq,26.9,,26.0,0.7,?,,2.6,1.7,?,,0.1,2907.0,1.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Ireland,24.8,,24.4,5.3,3.8,,?,18.4,13.0,,?,?,?,838.0,,0.3,,,,,,,,,,,,,,,,,,,,
,Israel,33.6,,36.7,4.6,5.9,,?,11.6,15.0,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Italy,38.0,,41.5,6.7,4.1,,?,13.3,8.1,,?,?,?,5858.0,,0.3,,,,,,,,,,,,,,,,,,,,
,Jamaica,29.3,,26.6,3.6,5.5,,?,12.9,20.1,,?,59.0,0.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Japan,12.8,,16.4,9.1,3.5,,?,23.2,9.1,,?,?,?,11463.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Jordan,30.0,,26.1,3.6,3.6,,0.7,12.0,12.5,,0.0,2921.0,7.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Kazakhstan,16.6,,19.5,1.9,2.8,,1.6,8.4,12.2,,0.1,59.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Kenya,21.9,,26.2,1.7,5.3,,0.4,6.3,16.7,,0.0,2475.0,3.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Kiribati,100.5,,77.4,6.9,?,,0.7,6.3,?,,0.0,77.0,22.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Kuwait,38.6,,52.0,3.4,?,,0.8,6.2,?,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Kyrgyzstan,28.5,,26.0,2.7,6.0,,3.1,7.3,15.8,,0.1,461.0,6.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Lao People's Democratic Republic,14.5,,?,0.9,2.9,,0.2,3.8,?,,?,476.0,3.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Latvia,41.0,,42.6,3.3,5.3,,0.8,8.5,14.1,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Lebanon,19.8,,25.8,3.9,2.5,,1.0,14.3,8.6,,0.0,1306.0,2.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Lesotho,33.8,,35.2,5.4,?,,7.1,11.3,13.8,,0.2,147.0,5.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Liberia,?,,16.5,1.1,4.1,,2.6,3.1,7.2,,0.2,622.0,33.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Libya,?,,?,?,?,,?,0.0,?,,?,432.0,0.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Liechtenstein,?,,?,?,2.6,,?,?,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Lithuania,31.2,,31.2,4.3,4.2,,0.5,12.3,12.3,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Luxembourg,42.0,,39.8,5.1,3.9,,?,12.2,9.4,,?,?,?,424.0,,1.0,,,,,,,,,,,,,,,,,,,,
,Madagascar,?,,?,2.4,?,,0.2,15.6,19.0,,?,780.0,7.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Malawi,18.5,,18.8,2.7,5.6,,1.5,9.7,21.6,,0.1,1515.0,24.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Malaysia,16.3,,16.0,2.1,5.0,,0.7,8.2,19.8,,0.0,?29,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Maldives,25.7,,25.1,6.4,4.5,,1.2,18.2,12.9,,0.0,42.0,1.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Mali,17.4,,12.5,1.0,3.8,,0.6,4.7,18.2,,0.0,1356.0,9.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Malta,39.5,,34.9,5.7,5.3,,?,14.2,13.2,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Marshall Islands,39.3,,63.2,11.6,?,,1.1,20.2,?,,0.0,72.0,27.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Mauritania,?,,?,1.8,2.6,,2.5,5.5,9.3,,?,284.0,5.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Mauritius,22.3,,23.0,2.4,4.9,,3.5,9.5,19.5,,0.2,12.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Mexico,20.1,,20.4,3.0,5.2,,1.7,10.9,19.0,,0.1,737.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Micronesia (Federated States of),34.2,,24.2,3.2,12.5,,?,5.8,22.3,,?,98.0,25.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Monaco,?,,?,1.6,?,,?,8.1,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Mongolia,21.1,,23.8,2.0,4.2,,2.0,6.0,12.4,,0.1,764.0,7.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Montenegro,?,,?,?,?,,1.8,?,?,,?,117.0,2.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Montserrat,?,,?,?,?,,?,?,?,,?,36.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Morocco,32.7,,24.5,2.4,?,,1.1,7.7,?,,0.0,1885.0,1.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Mozambique,25.1,,18.4,0.4,6.5,,1.3,1.2,19.0,,0.1,1776.0,14.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Myanmar,15.8,,16.8,1.1,2.2,,0.3,4.9,9.4,,0.0,1543.0,2.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Namibia,34.2,,34.8,5.3,3.1,,3.2,12.4,7.6,,0.1,187.0,1.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Nauru,?,,85.0,5.3,?,,?,5.0,?,,?,26.0,17.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Nepal,23.2,,19.6,1.0,3.7,,1.3,5.1,17.0,,0.1,1258.0,5.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Netherlands,39.2,,37.8,8.4,5.4,,?,18.8,12.3,,?,?,?,4958.0,,0.6,,,,,,,,,,,,,,,,,,,,
,New Zealand,32.6,,30.5,7.4,6.3,,?,22.1,16.4,,?,?,?,450.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Nicaragua,17.8,,16.4,4.5,4.1,,2.2,17.9,?,,0.1,563.0,4.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Niger,?,,?,1.5,6.0,,0.7,4.6,18.5,,?,1207.0,15.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Nigeria,5.0,,?,0.6,?,,0.3,5.3,?,,?,3359.0,0.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Niue,?,,?,?,?,,?,?,?,,?,15.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,North Macedonia,26.5,,28.1,4.1,?,,?,12.8,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Norway,45.4,,38.8,8.6,7.6,,?,17.7,15.7,,?,?,?,4125.0,,1.0,,,,,,,,,,,,,,,,,,,,
,Oman,49.5,,34.6,3.8,6.7,,?,7.6,15.3,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Pakistan,?,,17.6,0.7,2.7,,0.6,3.7,13.2,,0.0,2283.0,0.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Palau,26.6,,41.7,4.5,?,,?,13.3,?,,?,22.0,7.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Panama,?,,?,4.2,3.2,,1.5,11.6,13.0,,?,41.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Papua New Guinea,15.4,,16.9,1.7,?,,0.0,8.2,?,,0.0,532.0,2.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Paraguay,17.3,,15.6,4.2,4.5,,?,10.9,?,,?,143.0,0.5,?,,?,,,,,,,,,,,,,,,,,,,,
,Peru,17.0,,20.3,3.2,4.0,,1.4,14.5,17.6,,0.1,?8.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Philippines,15.6,,14.3,1.4,?,,0.7,7.3,?,,0.0,160.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Poland,33.6,,34.2,4.4,4.8,,2.0,10.7,11.6,,0.1,?,?,679.0,,0.1,,,,,,,,,,,,,,,,,,,,
,Portugal,37.8,,41.7,5.9,4.9,,?,12.3,10.2,,?,?,?,381.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Qatar,34.2,,18.7,2.6,2.9,,?,6.3,8.9,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Republic of Korea,27.8,,25.4,4.2,5.3,,?,12.9,?,,?,?,?,2201.0,,0.1,,,,,,,,,,,,,,,,,,,,
,Republic of Moldova,32.2,,26.8,4.6,?,,1.3,12.2,18.3,,0.0,241.0,2.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Romania,28.6,,31.6,3.9,3.1,,1.1,10.8,9.1,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Russian Federation,24.4,,30.6,3.1,3.8,,1.9,8.8,10.9,,0.1,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Rwanda,20.0,,18.9,2.2,3.8,,1.5,7.9,12.5,,0.1,1225.0,13.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Saint Kitts and Nevis,28.0,,24.4,2.1,2.8,,?,6.6,8.6,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Saint Lucia,22.3,,19.4,2.2,4.4,,0.5,8.6,16.5,,0.0,13.0,0.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Saint Vincent and the Grenadines,27.5,,26.6,2.6,5.8,,?,9.2,19.0,,?,7.0,0.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Samoa,27.0,,22.9,4.5,4.1,,0.8,11.5,10.5,,0.0,130.0,15.6,?,,?,,,,,,,,,,,,,,,,,,,,
,San Marino,39.8,,42.2,5.5,2.4,,?,13.3,10.6,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Sao Tome and Principe,16.0,,18.2,1.7,3.9,,?,4.9,11.3,,?,40.0,10.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Saudi Arabia,?,,28.0,4.1,?,,0.7,10.1,?,,0.0,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Senegal,17.2,,18.0,1.7,7.1,,1.0,5.8,23.8,,0.1,910.0,5.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Serbia,34.9,,36.9,5.4,4.0,,2.0,12.3,8.9,,0.1,1688.0,4.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Seychelles,36.4,,33.3,3.2,4.4,,2.6,10.0,11.7,,0.1,19.0,1.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Sierra Leone,9.8,,11.8,1.6,4.6,,0.9,7.9,19.9,,0.1,538.0,14.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Singapore,21.4,,14.5,2.2,2.9,,?,12.4,20.0,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Slovakia,37.5,,38.9,5.4,4.6,,2.4,12.0,10.3,,0.1,?,?,119.0,,0.1,,,,,,,,,,,,,,,,,,,,
,Slovenia,37.9,,38.0,6.1,4.9,,2.6,12.7,11.2,,0.1,?,?,76.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Solomon Islands,32.7,,33.6,3.5,9.9,,?,7.3,17.5,,?,187.0,15.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Somalia,?,,0.0,?,?,,0.2,?,?,,1422.8,1760.0,24.0,?,,?,,,,,,,,,,,,,,,,,,,,
,South Africa,30.9,,34.4,4.4,6.0,,3.3,13.3,18.7,,0.1,1014.0,0.3,?,,?,,,,,,,,,,,,,,,,,,,,
,South Sudan,?,,?,?,1.4,,10.1,?,3.3,,?,2183.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Spain,15.6,,18.7,6.5,4.3,,?,14.9,9.8,,?,?,?,2560.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,13.8,,16.4,1.7,2.2,,0.7,8.4,11.0,,0.0,297.0,0.4,?,,?,,,,,,,,,,,,,,,,,,,,
,State of Palestine,6.9,,8.3,?,5.1,,2.3,?,?,,0.3,2111.0,12.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Sudan,?,,10.5,2.1,?,,1.0,18.1,?,,0.1,840.0,0.8,?,,?,,,,,,,,,,,,,,,,,,,,
,Suriname,25.7,,22.4,4.0,?,,?,12.7,?,,?,20.0,0.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Sweden,33.1,,31.3,9.2,7.6,,?,18.5,15.5,,?,?,?,5563.0,,1.0,,,,,,,,,,,,,,,,,,,,
,Switzerland,18.4,,17.4,7.5,5.1,,?,22.1,15.5,,?,?,?,3138.0,,0.5,,,,,,,,,,,,,,,,,,,,
,Syrian Arab Republic,?,,?,?,?,,?,0.0,?,,?,10361.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Tajikistan,?,,?,1.9,5.2,,0.6,6.1,16.4,,?,304.0,3.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Thailand,19.2,,18.4,2.8,4.1,,0.5,15.3,19.1,,0.0,250.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Timor-Leste,32.4,,36.4,2.3,2.7,,6.5,4.5,6.8,,0.2,232.0,8.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Togo,18.8,,15.4,1.3,5.2,,0.2,4.2,16.7,,0.0,345.0,6.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Tokelau,?,,?,?,?,,?,?,?,,?,7.0,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Tonga,?,,31.4,2.7,?,,?,6.8,?,,?,80.0,18.6,?,,?,,,,,,,,,,,,,,,,,,,,
,Trinidad and Tobago,39.4,,35.8,3.2,?,,?,8.3,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Tunisia,31.4,,35.5,4.0,6.6,,0.8,13.9,22.9,,0.0,776.0,2.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Turkey,29.7,,31.9,3.2,4.3,,1.1,9.7,12.8,,0.0,3142.0,0.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Turkmenistan,?,,?,1.5,3.0,,?,8.7,20.8,,?,29.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Turks and Caicos Islands,?,,?,?,3.3,,?,?,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Tuvalu,?,,?,13.2,?,,?,10.3,?,,?,27.0,45.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Uganda,14.6,,13.3,1.0,2.8,,0.8,5.1,12.1,,0.1,2008.0,7.9,?,,?,,,,,,,,,,,,,,,,,,,,
,Ukraine,32.6,,33.6,2.9,5.0,,4.4,6.6,12.4,,0.1,1166.0,1.0,?,,?,,,,,,,,,,,,,,,,,,,,
,United Arab Emirates,3.5,,4.1,2.6,?,,?,7.9,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,United Kingdom,35.7,,36.4,7.9,5.6,,?,18.5,13.8,,?,?,?,18103.0,,0.7,,,,,,,,,,,,,,,,,,,,
